gpos1,gpos2,mean.r2,nobs,chrom,panel,domain
1.7000000000000002,1.8,0.2155051036517272,1132075,I,α&β,arm&center
1.8,1.9000000000000001,0.1918564064692055,1003918,I,α&β,arm&center
1.9000000000000001,2,0.17355680742361154,1033015,I,α&β,arm&center
2,2.1,0.1850734108840557,1211330,I,α&β,arm&center
2.1,2.2,0.19268580746737934,1133797,I,α&β,arm&center
2.2,2.3000000000000003,0.18819757166125242,1256720,I,α&β,arm&center
2.3000000000000003,2.4000000000000004,0.17309972800500537,1618750,I,α&β,arm&center
2.4000000000000004,2.5,0.16200277949476577,1481414,I,α&β,arm&center
2.5,2.6,0.16998489110376858,1238469,I,α&β,arm&center
2.6,2.7,0.15246414070017017,1245740,I,α&β,arm&center
2.7,2.8000000000000003,0.14030888447723472,981356,I,α&β,arm&center
2.8000000000000003,2.9000000000000004,0.1471523475519064,664816,I,α&β,arm&center
2.9000000000000004,3,0.15721614239661344,1109154,I,α&β,arm&center
3,3.1,0.17164760653551564,2038559,I,α&β,arm&center
3.1,3.2,0.17990361300387067,2955727,I,α&β,arm&center
3.2,3.3000000000000003,0.17527390084090913,3372294,I,α&β,arm&center
3.3000000000000003,3.4000000000000004,0.1422941435957225,4068526,I,α&β,arm&center
3.4000000000000004,3.5,0.1306297149365133,4129631,I,α&β,arm&center
3.5,3.6,0.1251394916188205,3424877,I,α&β,arm&center
3.6,3.7,0.13730490492569736,2540385,I,α&β,arm&center
3.7,3.8000000000000003,0.13792874429862995,2252045,I,α&β,arm&center
3.8000000000000003,3.9000000000000004,0.12394991235352261,1745859,I,α&β,arm&center
3.9000000000000004,4,0.13857395324666466,2383211,I,α&β,arm&center
4,4.1000000000000005,0.1375372704099862,3063535,I,α&β,arm&center
4.1000000000000005,4.2,0.1347380154529532,3579475,I,α&β,arm&center
4.2,4.3,0.14428075730974882,4268083,I,α&β,arm&center
4.3,4.4,0.13925155225892308,4383925,I,α&β,arm&center
4.4,4.5,0.12446271013194607,3786649,I,α&β,arm&center
4.5,4.6000000000000005,0.13090903424613606,3404308,I,α&β,arm&center
4.6000000000000005,4.7,0.13720968736751504,2877886,I,α&β,arm&center
4.7,4.800000000000001,0.12733206220246876,2244468,I,α&β,arm&center
4.800000000000001,4.9,0.10660858748254728,2392411,I,α&β,arm&center
4.9,5,0.10506918514032774,2265498,I,α&β,arm&center
0,0.1,0.3040360112809551,68010990,I,α&β,center
0.1,0.2,0.25154152198375074,46099602,I,α&β,center
0.2,0.30000000000000004,0.2277980561196039,38421926,I,α&β,center
0.30000000000000004,0.4,0.21724391746664723,29082830,I,α&β,center
0.4,0.5,0.19606704645356854,9289765,I,α&β,center
0.5,0.6000000000000001,0.22094896744090903,3082772,I,α&β,center
0.6000000000000001,0.7000000000000001,0.2334211802655274,2559303,I,α&β,center
0.7000000000000001,0.8,0.23898869736512449,2488511,I,α&β,center
0.8,0.9,0.2190551564573598,2559416,I,α&β,center
0.9,1,0.2159809670817891,2247867,I,α&β,center
1,1.1,0.20377115342324123,1544330,I,α&β,center
1.1,1.2000000000000002,0.21418150980900807,1567493,I,α&β,center
1.2000000000000002,1.3,0.21485202842474171,1391270,I,α&β,center
1.3,1.4000000000000001,0.2523982813969317,1035483,I,α&β,center
1.4000000000000001,1.5,0.2703159204938691,805594,I,α&β,center
1.5,1.6,0.25307102531427494,990652,I,α&β,center
1.6,1.7000000000000002,0.24743700497870255,1198115,I,α&β,center
1.7000000000000002,1.8,0.2463202066845814,1248079,I,α&β,center
1.8,1.9000000000000001,0.21078705540142484,1017457,I,α&β,center
1.9000000000000001,2,0.1724059702727698,1136549,I,α&β,center
